"Отметка времени","имя","Любите кошек?","Вы политически активны?","Вы зависимы от компьютера?","Получаете удовольствие от работы(учебы)?","Верите в любовь с первого взгляда?","Вы общительны?","Любите детей?"
"2020/12/05 11:43:05 AM GMT+2","Katrin","10","7","7","8","3","8","7"
"2020/12/05 11:43:13 AM GMT+2","memo","7","4","4","5","6","4","8"
"2020/12/05 11:43:17 AM GMT+2","Lena","10","1","8","10","6","5","8"
"2020/12/05 11:43:25 AM GMT+2","Shrek","8","6","8","8","7","7","9"
"2020/12/05 11:43:40 AM GMT+2","Aurelius","8","4","9","9","10","8","3"
"2020/12/05 11:44:35 AM GMT+2","Junior","10","1","1","10","8","10","5"
