r030,txt,rate,cc,exchangedate
233,Крони Естонії,0.337201,EEK,08.03.2000
246,Фінські маpки,0.887369,FIM,08.03.2000
250,Фpанцузський фpанк,0.804329,FRF,08.03.2000
280,Hімецькі маpки,2.697604,DEM,08.03.2000
348,Форинт,0.0206895,HUF,08.03.2000
352,Ісландські крони,0.074417,ISK,08.03.2000
380,Італійські ліpи,0.00272485,ITL,08.03.2000
392,Єна,0.0512238,JPY,08.03.2000
398,Теньге,0.039145,KZT,08.03.2000
428,Лати Латвії,9.290372,LVL,08.03.2000
440,Литовські лити,1.374975,LTL,08.03.2000
498,Молдовський лей,0.436542,MDL,08.03.2000
528,Голандські гульдени,2.394169,NLG,08.03.2000
578,Норвезька крона,0.652654,NOK,08.03.2000
702,Сінгапурський долар,3.188718,SGD,08.03.2000
703,Словацькі крони,0.126565,SKK,08.03.2000
724,Іспанскі пессети,0.0317097,ESP,08.03.2000
752,Шведська крона,0.625533,SEK,08.03.2000
756,Швейцарський франк,3.280516,CHF,08.03.2000
792,Турецькі ліри,9.53e-06,TRL,08.03.2000
795,Манати Туркменії,0.00105767,TMM,08.03.2000
826,Фунт стерлінгів,8.654944,GBP,08.03.2000
840,Долар США,5.4999,USD,08.03.2000
860,Узбецький сум,0.037949,UZS,08.03.2000
960,СПЗ(спец.права запозичення),7.337289,XDR,08.03.2000
974,Бiлоруський рубль,0.00589,BYR,08.03.2000
978,Євро,5.276054,EUR,08.03.2000
985,Злотий,1.334118,PLN,08.03.2000
300,Грецькі драхми,0.0158179,GRD,08.03.2000
372,Ірландські фунти,6.699207,IEP,08.03.2000
620,Португальські ескудо,0.0026317,PTE,08.03.2000
810,Російські рублі,0.19264,RUR,08.03.2000
31,Азербайджанський манат,0.00124884,AZM,09.03.2000
36,Австралійський долар,3.322661,AUD,09.03.2000
40,Австрійський шилінг,0.383426,ATS,09.03.2000
56,Бельгійський франк,0.13079,BEF,09.03.2000
124,Канадський долар,3.785102,CAD,09.03.2000
203,Чеська крона,0.148542,CZK,09.03.2000
208,Данська крона,0.708461,DKK,09.03.2000
233,Крони Естонії,0.337201,EEK,09.03.2000
246,Фінські маpки,0.887369,FIM,09.03.2000
250,Фpанцузський фpанк,0.804329,FRF,09.03.2000
280,Hімецькі маpки,2.697604,DEM,09.03.2000
348,Форинт,0.0206895,HUF,09.03.2000
352,Ісландські крони,0.074417,ISK,09.03.2000
380,Італійські ліpи,0.00272485,ITL,09.03.2000
392,Єна,0.0512238,JPY,09.03.2000
398,Теньге,0.039145,KZT,09.03.2000
428,Лати Латвії,9.290372,LVL,09.03.2000
440,Литовські лити,1.374975,LTL,09.03.2000
498,Молдовський лей,0.436542,MDL,09.03.2000
528,Голандські гульдени,2.394169,NLG,09.03.2000
578,Норвезька крона,0.652654,NOK,09.03.2000
702,Сінгапурський долар,3.188718,SGD,09.03.2000
703,Словацькі крони,0.126565,SKK,09.03.2000
724,Іспанскі пессети,0.0317097,ESP,09.03.2000
752,Шведська крона,0.625533,SEK,09.03.2000
756,Швейцарський франк,3.280516,CHF,09.03.2000
792,Турецькі ліри,9.53e-06,TRL,09.03.2000
795,Манати Туркменії,0.00105767,TMM,09.03.2000
826,Фунт стерлінгів,8.654944,GBP,09.03.2000
840,Долар США,5.4999,USD,09.03.2000
860,Узбецький сум,0.037949,UZS,09.03.2000
960,СПЗ(спец.права запозичення),7.337289,XDR,09.03.2000
974,Бiлоруський рубль,0.00589,BYR,09.03.2000
978,Євро,5.276054,EUR,09.03.2000
985,Злотий,1.334118,PLN,09.03.2000
300,Грецькі драхми,0.0158179,GRD,09.03.2000
372,Ірландські фунти,6.699207,IEP,09.03.2000
620,Португальські ескудо,0.0026317,PTE,09.03.2000
810,Російські рублі,0.19264,RUR,09.03.2000
31,Азербайджанський манат,0.00124623,AZM,10.03.2000
36,Австралійський долар,3.361129,AUD,10.03.2000
40,Австрійський шилінг,0.383541,ATS,10.03.2000
56,Бельгійський франк,0.1308294,BEF,10.03.2000
124,Канадський долар,3.764369,CAD,10.03.2000
203,Чеська крона,0.148231,CZK,10.03.2000
208,Данська крона,0.708589,DKK,10.03.2000
233,Крони Естонії,0.337303,EEK,10.03.2000
246,Фінські маpки,0.887636,FIM,10.03.2000
250,Фpанцузський фpанк,0.804572,FRF,10.03.2000
280,Hімецькі маpки,2.698417,DEM,10.03.2000
348,Форинт,0.0206463,HUF,10.03.2000
352,Ісландські крони,0.074141,ISK,10.03.2000
380,Італійські ліpи,0.00272568,ITL,10.03.2000
392,Єна,0.0515194,JPY,10.03.2000
398,Теньге,0.039063,KZT,10.03.2000
428,Лати Латвії,9.1933,LVL,10.03.2000
440,Литовські лити,1.3721,LTL,10.03.2000
498,Молдовський лей,0.434171,MDL,10.03.2000
528,Голандські гульдени,2.394891,NLG,10.03.2000
578,Норвезька крона,0.650157,NOK,10.03.2000
702,Сінгапурський долар,3.18205,SGD,10.03.2000
703,Словацькі крони,0.126301,SKK,10.03.2000
724,Іспанскі пессети,0.0317193,ESP,10.03.2000
752,Шведська крона,0.624721,SEK,10.03.2000
756,Швейцарський франк,3.286001,CHF,10.03.2000
792,Турецькі ліри,9.51e-06,TRL,10.03.2000
795,Манати Туркменії,0.00105546,TMM,10.03.2000
826,Фунт стерлінгів,8.67178,GBP,10.03.2000
840,Долар США,5.4884,USD,10.03.2000
860,Узбецький сум,0.037869,UZS,10.03.2000
960,СПЗ(спец.права запозичення),7.400169,XDR,10.03.2000
974,Бiлоруський рубль,0.00588,BYR,10.03.2000
978,Євро,5.277645,EUR,10.03.2000
985,Злотий,1.331328,PLN,10.03.2000
300,Грецькі драхми,0.0158227,GRD,10.03.2000
372,Ірландські фунти,6.701227,IEP,10.03.2000
620,Португальські ескудо,0.0026325,PTE,10.03.2000
810,Російські рублі,0.19237,RUR,10.03.2000
31,Азербайджанський манат,0.00124251,AZM,11.03.2000
36,Австралійський долар,3.359454,AUD,11.03.2000
40,Австрійський шилінг,0.382276,ATS,11.03.2000
56,Бельгійський франк,0.1303978,BEF,11.03.2000
124,Канадський долар,3.762416,CAD,11.03.2000
203,Чеська крона,0.147788,CZK,11.03.2000
208,Данська крона,0.706176,DKK,11.03.2000
233,Крони Естонії,0.33619,EEK,11.03.2000
246,Фінські маpки,0.884708,FIM,11.03.2000
250,Фpанцузський фpанк,0.801917,FRF,11.03.2000
280,Hімецькі маpки,2.689515,DEM,11.03.2000
348,Форинт,0.0205846,HUF,11.03.2000
352,Ісландські крони,0.074547,ISK,11.03.2000
380,Італійські ліpи,0.00271668,ITL,11.03.2000
392,Єна,0.0514348,JPY,11.03.2000
398,Теньге,0.038784,KZT,11.03.2000
428,Лати Латвії,9.165829,LVL,11.03.2000
440,Литовські лити,1.368,LTL,11.03.2000
498,Молдовський лей,0.433869,MDL,11.03.2000
528,Голандські гульдени,2.38699,NLG,11.03.2000
578,Норвезька крона,0.649452,NOK,11.03.2000
702,Сінгапурський долар,3.172542,SGD,11.03.2000
703,Словацькі крони,0.125923,SKK,11.03.2000
724,Іспанскі пессети,0.0316146,ESP,11.03.2000
752,Шведська крона,0.62314,SEK,11.03.2000
756,Швейцарський франк,3.271696,CHF,11.03.2000
792,Турецькі ліри,9.48e-06,TRL,11.03.2000
795,Манати Туркменії,0.00105231,TMM,11.03.2000
826,Фунт стерлінгів,8.630408,GBP,11.03.2000
840,Долар США,5.472,USD,11.03.2000
860,Узбецький сум,0.037756,UZS,11.03.2000
960,СПЗ(спец.права запозичення),7.341845,XDR,11.03.2000
974,Бiлоруський рубль,0.00586,BYR,11.03.2000
978,Євро,5.260234,EUR,11.03.2000
985,Злотий,1.32735,PLN,11.03.2000
300,Грецькі драхми,0.0157634,GRD,11.03.2000
372,Ірландські фунти,6.679119,IEP,11.03.2000
620,Португальські ескудо,0.0026238,PTE,11.03.2000
810,Російські рублі,0.19193,RUR,11.03.2000
31,Азербайджанський манат,0.00124251,AZM,12.03.2000
36,Австралійський долар,3.359454,AUD,12.03.2000
40,Австрійський шилінг,0.382276,ATS,12.03.2000
56,Бельгійський франк,0.1303978,BEF,12.03.2000
124,Канадський долар,3.762416,CAD,12.03.2000
203,Чеська крона,0.147788,CZK,12.03.2000
208,Данська крона,0.706176,DKK,12.03.2000
233,Крони Естонії,0.33619,EEK,12.03.2000
246,Фінські маpки,0.884708,FIM,12.03.2000
250,Фpанцузський фpанк,0.801917,FRF,12.03.2000
280,Hімецькі маpки,2.689515,DEM,12.03.2000
348,Форинт,0.0205846,HUF,12.03.2000
352,Ісландські крони,0.074547,ISK,12.03.2000
380,Італійські ліpи,0.00271668,ITL,12.03.2000
392,Єна,0.0514348,JPY,12.03.2000
398,Теньге,0.038784,KZT,12.03.2000
428,Лати Латвії,9.165829,LVL,12.03.2000
440,Литовські лити,1.368,LTL,12.03.2000
498,Молдовський лей,0.433869,MDL,12.03.2000
528,Голандські гульдени,2.38699,NLG,12.03.2000
578,Норвезька крона,0.649452,NOK,12.03.2000
702,Сінгапурський долар,3.172542,SGD,12.03.2000
703,Словацькі крони,0.125923,SKK,12.03.2000
724,Іспанскі пессети,0.0316146,ESP,12.03.2000
752,Шведська крона,0.62314,SEK,12.03.2000
756,Швейцарський франк,3.271696,CHF,12.03.2000
792,Турецькі ліри,9.48e-06,TRL,12.03.2000
795,Манати Туркменії,0.00105231,TMM,12.03.2000
826,Фунт стерлінгів,8.630408,GBP,12.03.2000
840,Долар США,5.472,USD,12.03.2000
860,Узбецький сум,0.037756,UZS,12.03.2000
960,СПЗ(спец.права запозичення),7.341845,XDR,12.03.2000
974,Бiлоруський рубль,0.00586,BYR,12.03.2000
978,Євро,5.260234,EUR,12.03.2000
985,Злотий,1.32735,PLN,12.03.2000
300,Грецькі драхми,0.0157634,GRD,12.03.2000
372,Ірландські фунти,6.679119,IEP,12.03.2000
620,Португальські ескудо,0.0026238,PTE,12.03.2000
810,Російські рублі,0.19193,RUR,12.03.2000
31,Азербайджанський манат,0.00124251,AZM,13.03.2000
36,Австралійський долар,3.359454,AUD,13.03.2000
40,Австрійський шилінг,0.382276,ATS,13.03.2000
56,Бельгійський франк,0.1303978,BEF,13.03.2000
124,Канадський долар,3.762416,CAD,13.03.2000
203,Чеська крона,0.147788,CZK,13.03.2000
208,Данська крона,0.706176,DKK,13.03.2000
233,Крони Естонії,0.33619,EEK,13.03.2000
246,Фінські маpки,0.884708,FIM,13.03.2000
250,Фpанцузський фpанк,0.801917,FRF,13.03.2000
280,Hімецькі маpки,2.689515,DEM,13.03.2000
348,Форинт,0.0205846,HUF,13.03.2000
352,Ісландські крони,0.074547,ISK,13.03.2000
380,Італійські ліpи,0.00271668,ITL,13.03.2000
392,Єна,0.0514348,JPY,13.03.2000
398,Теньге,0.038784,KZT,13.03.2000
428,Лати Латвії,9.165829,LVL,13.03.2000
440,Литовські лити,1.368,LTL,13.03.2000
498,Молдовський лей,0.433869,MDL,13.03.2000
528,Голандські гульдени,2.38699,NLG,13.03.2000
578,Норвезька крона,0.649452,NOK,13.03.2000
702,Сінгапурський долар,3.172542,SGD,13.03.2000
703,Словацькі крони,0.125923,SKK,13.03.2000
724,Іспанскі пессети,0.0316146,ESP,13.03.2000
752,Шведська крона,0.62314,SEK,13.03.2000
756,Швейцарський франк,3.271696,CHF,13.03.2000
792,Турецькі ліри,9.48e-06,TRL,13.03.2000
795,Манати Туркменії,0.00105231,TMM,13.03.2000
826,Фунт стерлінгів,8.630408,GBP,13.03.2000
840,Долар США,5.472,USD,13.03.2000
860,Узбецький сум,0.037756,UZS,13.03.2000
960,СПЗ(спец.права запозичення),7.341845,XDR,13.03.2000
974,Бiлоруський рубль,0.00586,BYR,13.03.2000
978,Євро,5.260234,EUR,13.03.2000
985,Злотий,1.32735,PLN,13.03.2000
300,Грецькі драхми,0.0157634,GRD,13.03.2000
372,Ірландські фунти,6.679119,IEP,13.03.2000
620,Португальські ескудо,0.0026238,PTE,13.03.2000
810,Російські рублі,0.19193,RUR,13.03.2000
31,Азербайджанський манат,0.00124112,AZM,14.03.2000
36,Австралійський долар,3.357145,AUD,14.03.2000
40,Австрійський шилінг,0.385941,ATS,14.03.2000
56,Бельгійський франк,0.131648,BEF,14.03.2000
124,Канадський долар,3.748884,CAD,14.03.2000
203,Чеська крона,0.147623,CZK,14.03.2000
208,Данська крона,0.712803,DKK,14.03.2000
233,Крони Естонії,0.339414,EEK,14.03.2000
246,Фінські маpки,0.89319,FIM,14.03.2000
250,Фpанцузський фpанк,0.809606,FRF,14.03.2000
280,Hімецькі маpки,2.715302,DEM,14.03.2000
348,Форинт,0.0205616,HUF,14.03.2000
352,Ісландські крони,0.074317,ISK,14.03.2000
380,Італійські ліpи,0.00274273,ITL,14.03.2000
392,Єна,0.0519482,JPY,14.03.2000
398,Теньге,0.038741,KZT,14.03.2000
428,Лати Латвії,9.155611,LVL,14.03.2000
440,Литовські лити,1.366475,LTL,14.03.2000
498,Молдовський лей,0.433957,MDL,14.03.2000
528,Голандські гульдени,2.409876,NLG,14.03.2000
578,Норвезька крона,0.653983,NOK,14.03.2000
702,Сінгапурський долар,3.169005,SGD,14.03.2000
703,Словацькі крони,0.125783,SKK,14.03.2000
724,Іспанскі пессети,0.0319178,ESP,14.03.2000
752,Шведська крона,0.630646,SEK,14.03.2000
756,Швейцарський франк,3.296914,CHF,14.03.2000
792,Турецькі ліри,9.47e-06,TRL,14.03.2000
795,Манати Туркменії,0.00105113,TMM,14.03.2000
826,Фунт стерлінгів,8.640853,GBP,14.03.2000
840,Долар США,5.4659,USD,14.03.2000
860,Узбецький сум,0.037522,UZS,14.03.2000
960,СПЗ(спец.права запозичення),7.412838,XDR,14.03.2000
974,Бiлоруський рубль,0.00585,BYR,14.03.2000
978,Євро,5.310668,EUR,14.03.2000
985,Злотий,1.32587,PLN,14.03.2000
300,Грецькі драхми,0.0159193,GRD,14.03.2000
372,Ірландські фунти,6.743158,IEP,14.03.2000
620,Португальські ескудо,0.002649,PTE,14.03.2000
810,Російські рублі,0.19179,RUR,14.03.2000
31,Азербайджанський манат,0.00124046,AZM,15.03.2000
36,Австралійський долар,3.362169,AUD,15.03.2000
40,Австрійський шилінг,0.381925,ATS,15.03.2000
56,Бельгійський франк,0.1302781,BEF,15.03.2000
124,Канадський долар,3.739438,CAD,15.03.2000
203,Чеська крона,0.148175,CZK,15.03.2000
208,Данська крона,0.705414,DKK,15.03.2000
233,Крони Естонії,0.335882,EEK,15.03.2000
246,Фінські маpки,0.883896,FIM,15.03.2000
250,Фpанцузський фpанк,0.801181,FRF,15.03.2000
280,Hімецькі маpки,2.687046,DEM,15.03.2000
348,Форинт,0.0204829,HUF,15.03.2000
352,Ісландські крони,0.074169,ISK,15.03.2000
380,Італійські ліpи,0.00271419,ITL,15.03.2000
392,Єна,0.0520698,JPY,15.03.2000
398,Теньге,0.03872,KZT,15.03.2000
428,Лати Латвії,9.150754,LVL,15.03.2000
440,Литовські лити,1.36575,LTL,15.03.2000
498,Молдовський лей,0.433726,MDL,15.03.2000
528,Голандські гульдени,2.384799,NLG,15.03.2000
578,Норвезька крона,0.647138,NOK,15.03.2000
702,Сінгапурський долар,3.206362,SGD,15.03.2000
703,Словацькі крони,0.126625,SKK,15.03.2000
724,Іспанскі пессети,0.0315856,ESP,15.03.2000
752,Шведська крона,0.625793,SEK,15.03.2000
756,Швейцарський франк,3.261391,CHF,15.03.2000
792,Турецькі ліри,9.43e-06,TRL,15.03.2000
795,Манати Туркменії,0.00105058,TMM,15.03.2000
826,Фунт стерлінгів,8.583057,GBP,15.03.2000
840,Долар США,5.463,USD,15.03.2000
860,Узбецький сум,0.037503,UZS,15.03.2000
960,СПЗ(спец.права запозичення),7.290012,XDR,15.03.2000
974,Бiлоруський рубль,0.00585,BYR,15.03.2000
978,Євро,5.255406,EUR,15.03.2000
985,Злотий,1.332277,PLN,15.03.2000
300,Грецькі драхми,0.0157546,GRD,15.03.2000
372,Ірландські фунти,6.672989,IEP,15.03.2000
620,Португальські ескудо,0.0026214,PTE,15.03.2000
810,Російські рублі,0.19175,RUR,15.03.2000
31,Азербайджанський манат,0.00123937,AZM,16.03.2000
36,Австралійський долар,3.345953,AUD,16.03.2000
40,Австрійський шилінг,0.382661,ATS,16.03.2000
56,Бельгійський франк,0.130529,BEF,16.03.2000
124,Канадський долар,3.723325,CAD,16.03.2000
203,Чеська крона,0.148045,CZK,16.03.2000
208,Данська крона,0.707019,DKK,16.03.2000
233,Крони Естонії,0.336528,EEK,16.03.2000
246,Фінські маpки,0.885598,FIM,16.03.2000
250,Фpанцузський фpанк,0.802724,FRF,16.03.2000
280,Hімецькі маpки,2.69222,DEM,16.03.2000
348,Форинт,0.0204649,HUF,16.03.2000
352,Ісландські крони,0.074163,ISK,16.03.2000
380,Італійські ліpи,0.00271942,ITL,16.03.2000
392,Єна,0.0517547,JPY,16.03.2000
398,Теньге,0.038686,KZT,16.03.2000
428,Лати Латвії,9.188889,LVL,16.03.2000
440,Литовські лити,1.36455,LTL,16.03.2000
498,Молдовський лей,0.433824,MDL,16.03.2000
528,Голандські гульдени,2.389391,NLG,16.03.2000
578,Норвезька крона,0.64687,NOK,16.03.2000
702,Сінгапурський долар,3.203545,SGD,16.03.2000
703,Словацькі крони,0.126514,SKK,16.03.2000
724,Іспанскі пессети,0.0316464,ESP,16.03.2000
752,Шведська крона,0.625731,SEK,16.03.2000
756,Швейцарський франк,3.267469,CHF,16.03.2000
792,Турецькі ліри,9.43e-06,TRL,16.03.2000
795,Манати Туркменії,0.00104965,TMM,16.03.2000
826,Фунт стерлінгів,8.575774,GBP,16.03.2000
840,Долар США,5.4582,USD,16.03.2000
860,Узбецький сум,0.03747,UZS,16.03.2000
960,СПЗ(спец.права запозичення),7.360614,XDR,16.03.2000
974,Бiлоруський рубль,0.00584,BYR,16.03.2000
978,Євро,5.265526,EUR,16.03.2000
985,Злотий,1.331106,PLN,16.03.2000
300,Грецькі драхми,0.0157863,GRD,16.03.2000
372,Ірландські фунти,6.685838,IEP,16.03.2000
620,Португальські ескудо,0.0026264,PTE,16.03.2000
810,Російські рублі,0.19178,RUR,16.03.2000
31,Азербайджанський манат,0.00123765,AZM,17.03.2000
36,Австралійський долар,3.343436,AUD,17.03.2000
40,Австрійський шилінг,0.382762,ATS,17.03.2000
56,Бельгійський франк,0.1305634,BEF,17.03.2000
124,Канадський долар,3.716948,CAD,17.03.2000
203,Чеська крона,0.147839,CZK,17.03.2000
208,Данська крона,0.707301,DKK,17.03.2000
233,Крони Естонії,0.336617,EEK,17.03.2000
246,Фінські маpки,0.885831,FIM,17.03.2000
250,Фpанцузський фpанк,0.802936,FRF,17.03.2000
280,Hімецькі маpки,2.692931,DEM,17.03.2000
348,Форинт,0.0204364,HUF,17.03.2000
352,Ісландські крони,0.074119,ISK,17.03.2000
380,Італійські ліpи,0.00272013,ITL,17.03.2000
392,Єна,0.0517735,JPY,17.03.2000
398,Теньге,0.038632,KZT,17.03.2000
428,Лати Латвії,9.176094,LVL,17.03.2000
440,Литовські лити,1.36265,LTL,17.03.2000
498,Молдовський лей,0.433406,MDL,17.03.2000
528,Голандські гульдени,2.390022,NLG,17.03.2000
578,Норвезька крона,0.645574,NOK,17.03.2000
702,Сінгапурський долар,3.199084,SGD,17.03.2000
703,Словацькі крони,0.126338,SKK,17.03.2000
724,Іспанскі пессети,0.0316548,ESP,17.03.2000
752,Шведська крона,0.624597,SEK,17.03.2000
756,Швейцарський франк,3.268939,CHF,17.03.2000
792,Турецькі ліри,9.41e-06,TRL,17.03.2000
795,Манати Туркменії,0.00104819,TMM,17.03.2000
826,Фунт стерлінгів,8.557132,GBP,17.03.2000
840,Долар США,5.4506,USD,17.03.2000
860,Узбецький сум,0.037417,UZS,17.03.2000
960,СПЗ(спец.права запозичення),7.340658,XDR,17.03.2000
974,Бiлоруський рубль,0.00583,BYR,17.03.2000
978,Євро,5.266915,EUR,17.03.2000
985,Злотий,1.329253,PLN,17.03.2000
300,Грецькі драхми,0.0157857,GRD,17.03.2000
372,Ірландські фунти,6.687602,IEP,17.03.2000
620,Португальські ескудо,0.0026271,PTE,17.03.2000
810,Російські рублі,0.19172,RUR,17.03.2000
31,Азербайджанський манат,0.00123802,AZM,18.03.2000
36,Австралійський долар,3.319821,AUD,18.03.2000
40,Австрійський шилінг,0.383146,ATS,18.03.2000
56,Бельгійський франк,0.1306946,BEF,18.03.2000
124,Канадський долар,3.692798,CAD,18.03.2000
203,Чеська крона,0.14785,CZK,18.03.2000
208,Данська крона,0.708088,DKK,18.03.2000
233,Крони Естонії,0.336955,EEK,18.03.2000
246,Фінські маpки,0.886722,FIM,18.03.2000
250,Фpанцузський фpанк,0.803743,FRF,18.03.2000
280,Hімецькі маpки,2.695637,DEM,18.03.2000
348,Форинт,0.0204379,HUF,18.03.2000
352,Ісландські крони,0.074215,ISK,18.03.2000
380,Італійські ліpи,0.00272287,ITL,18.03.2000
392,Єна,0.0515317,JPY,18.03.2000
398,Теньге,0.038577,KZT,18.03.2000
428,Лати Латвії,9.176768,LVL,18.03.2000
440,Литовські лити,1.36275,LTL,18.03.2000
498,Молдовський лей,0.433438,MDL,18.03.2000
528,Голандські гульдени,2.392423,NLG,18.03.2000
578,Норвезька крона,0.646579,NOK,18.03.2000
702,Сінгапурський долар,3.199319,SGD,18.03.2000
703,Словацькі крони,0.126347,SKK,18.03.2000
724,Іспанскі пессети,0.0316866,ESP,18.03.2000
752,Шведська крона,0.626376,SEK,18.03.2000
756,Швейцарський франк,3.269383,CHF,18.03.2000
792,Турецькі ліри,9.41e-06,TRL,18.03.2000
795,Манати Туркменії,0.00104827,TMM,18.03.2000
826,Фунт стерлінгів,8.578274,GBP,18.03.2000
840,Долар США,5.451,USD,18.03.2000
860,Узбецький сум,0.03742,UZS,18.03.2000
960,СПЗ(спец.права запозичення),7.34526,XDR,18.03.2000
974,Бiлоруський рубль,0.00583,BYR,18.03.2000
978,Євро,5.272207,EUR,18.03.2000
985,Злотий,1.32935,PLN,18.03.2000
300,Грецькі драхми,0.0157992,GRD,18.03.2000
372,Ірландські фунти,6.694322,IEP,18.03.2000
620,Португальські ескудо,0.0026298,PTE,18.03.2000
810,Російські рублі,0.19187,RUR,18.03.2000
31,Азербайджанський манат,0.00123802,AZM,19.03.2000
36,Австралійський долар,3.319821,AUD,19.03.2000
40,Австрійський шилінг,0.383146,ATS,19.03.2000
56,Бельгійський франк,0.1306946,BEF,19.03.2000
124,Канадський долар,3.692798,CAD,19.03.2000
203,Чеська крона,0.14785,CZK,19.03.2000
208,Данська крона,0.708088,DKK,19.03.2000
233,Крони Естонії,0.336955,EEK,19.03.2000
246,Фінські маpки,0.886722,FIM,19.03.2000
250,Фpанцузський фpанк,0.803743,FRF,19.03.2000
280,Hімецькі маpки,2.695637,DEM,19.03.2000
348,Форинт,0.0204379,HUF,19.03.2000
352,Ісландські крони,0.074215,ISK,19.03.2000
380,Італійські ліpи,0.00272287,ITL,19.03.2000
392,Єна,0.0515317,JPY,19.03.2000
398,Теньге,0.038577,KZT,19.03.2000
428,Лати Латвії,9.176768,LVL,19.03.2000
440,Литовські лити,1.36275,LTL,19.03.2000
498,Молдовський лей,0.433438,MDL,19.03.2000
528,Голандські гульдени,2.392423,NLG,19.03.2000
578,Норвезька крона,0.646579,NOK,19.03.2000
702,Сінгапурський долар,3.199319,SGD,19.03.2000
703,Словацькі крони,0.126347,SKK,19.03.2000
724,Іспанскі пессети,0.0316866,ESP,19.03.2000
752,Шведська крона,0.626376,SEK,19.03.2000
756,Швейцарський франк,3.269383,CHF,19.03.2000
792,Турецькі ліри,9.41e-06,TRL,19.03.2000
795,Манати Туркменії,0.00104827,TMM,19.03.2000
826,Фунт стерлінгів,8.578274,GBP,19.03.2000
840,Долар США,5.451,USD,19.03.2000
860,Узбецький сум,0.03742,UZS,19.03.2000
960,СПЗ(спец.права запозичення),7.34526,XDR,19.03.2000
974,Бiлоруський рубль,0.00583,BYR,19.03.2000
978,Євро,5.272207,EUR,19.03.2000
985,Злотий,1.32935,PLN,19.03.2000
300,Грецькі драхми,0.0157992,GRD,19.03.2000
372,Ірландські фунти,6.694322,IEP,19.03.2000
620,Португальські ескудо,0.0026298,PTE,19.03.2000
810,Російські рублі,0.19187,RUR,19.03.2000
31,Азербайджанський манат,0.00123802,AZM,20.03.2000
36,Австралійський долар,3.319821,AUD,20.03.2000
40,Австрійський шилінг,0.383146,ATS,20.03.2000
56,Бельгійський франк,0.1306946,BEF,20.03.2000
124,Канадський долар,3.692798,CAD,20.03.2000
203,Чеська крона,0.14785,CZK,20.03.2000
208,Данська крона,0.708088,DKK,20.03.2000
233,Крони Естонії,0.336955,EEK,20.03.2000
246,Фінські маpки,0.886722,FIM,20.03.2000
250,Фpанцузський фpанк,0.803743,FRF,20.03.2000
280,Hімецькі маpки,2.695637,DEM,20.03.2000
348,Форинт,0.0204379,HUF,20.03.2000
352,Ісландські крони,0.074215,ISK,20.03.2000
380,Італійські ліpи,0.00272287,ITL,20.03.2000
392,Єна,0.0515317,JPY,20.03.2000
398,Теньге,0.038577,KZT,20.03.2000
428,Лати Латвії,9.176768,LVL,20.03.2000
440,Литовські лити,1.36275,LTL,20.03.2000
498,Молдовський лей,0.433438,MDL,20.03.2000
528,Голандські гульдени,2.392423,NLG,20.03.2000
578,Норвезька крона,0.646579,NOK,20.03.2000
702,Сінгапурський долар,3.199319,SGD,20.03.2000
703,Словацькі крони,0.126347,SKK,20.03.2000
724,Іспанскі пессети,0.0316866,ESP,20.03.2000
752,Шведська крона,0.626376,SEK,20.03.2000
756,Швейцарський франк,3.269383,CHF,20.03.2000
792,Турецькі ліри,9.41e-06,TRL,20.03.2000
795,Манати Туркменії,0.00104827,TMM,20.03.2000
826,Фунт стерлінгів,8.578274,GBP,20.03.2000
840,Долар США,5.451,USD,20.03.2000
860,Узбецький сум,0.03742,UZS,20.03.2000
960,СПЗ(спец.права запозичення),7.34526,XDR,20.03.2000
974,Бiлоруський рубль,0.00583,BYR,20.03.2000
978,Євро,5.272207,EUR,20.03.2000
985,Злотий,1.32935,PLN,20.03.2000
300,Грецькі драхми,0.0157992,GRD,20.03.2000
372,Ірландські фунти,6.694322,IEP,20.03.2000
620,Португальські ескудо,0.0026298,PTE,20.03.2000
810,Російські рублі,0.19187,RUR,20.03.2000
31,Азербайджанський манат,0.00123802,AZM,21.03.2000
36,Австралійський долар,3.301937,AUD,21.03.2000
40,Австрійський шилінг,0.38485,ATS,21.03.2000
56,Бельгійський франк,0.1312756,BEF,21.03.2000
124,Канадський долар,3.707917,CAD,21.03.2000
203,Чеська крона,0.14785,CZK,21.03.2000
208,Данська крона,0.71114,DKK,21.03.2000
233,Крони Естонії,0.338453,EEK,21.03.2000
246,Фінські маpки,0.890664,FIM,21.03.2000
250,Фpанцузський фpанк,0.807316,FRF,21.03.2000
280,Hімецькі маpки,2.707621,DEM,21.03.2000
348,Форинт,0.0204379,HUF,21.03.2000
352,Ісландські крони,0.07421,ISK,21.03.2000
380,Італійські ліpи,0.00273497,ITL,21.03.2000
392,Єна,0.0510621,JPY,21.03.2000
398,Теньге,0.038523,KZT,21.03.2000
428,Лати Латвії,9.176768,LVL,21.03.2000
440,Литовські лити,1.36275,LTL,21.03.2000
498,Молдовський лей,0.4335,MDL,21.03.2000
528,Голандські гульдени,2.40306,NLG,21.03.2000
578,Норвезька крона,0.648142,NOK,21.03.2000
702,Сінгапурський долар,3.199319,SGD,21.03.2000
703,Словацькі крони,0.126347,SKK,21.03.2000
724,Іспанскі пессети,0.0318275,ESP,21.03.2000
752,Шведська крона,0.62875,SEK,21.03.2000
756,Швейцарський франк,3.283918,CHF,21.03.2000
792,Турецькі ліри,9.41e-06,TRL,21.03.2000
795,Манати Туркменії,0.00104827,TMM,21.03.2000
