r030,txt,rate,cc,exchangedate
682,Саудівський рiял,1.390902,SAR,03.01.2000
704,Донг,0.00037192,VND,03.01.2000
705,Словенські толари,0.026566,SIT,03.01.2000
760,Сирійский фунт,0.121309,SYP,03.01.2000
762,Таджикистанський сомоні,0.0036325,TJS,03.01.2000
818,Єгипетський фунт,1.522118,EGP,03.01.2000
901,Новий тайванський долар,0.165319,TWD,03.01.2000
952,Франки CFA-BCEAO,0.008048,XOF,03.01.2000
986,Бразильський реал,2.851216,BRL,03.01.2000
31,Азербайджанський манат,0.00119284,AZM,04.01.2000
36,Австралійський долар,3.397935,AUD,04.01.2000
40,Австрійський шилінг,0.380827,ATS,04.01.2000
56,Бельгійський франк,0.1299035,BEF,04.01.2000
124,Канадський долар,3.587278,CAD,04.01.2000
203,Чеська крона,0.146021,CZK,04.01.2000
208,Данська крона,0.704028,DKK,04.01.2000
233,Крони Естонії,0.334916,EEK,04.01.2000
246,Фінські маpки,0.881354,FIM,04.01.2000
250,Фpанцузський фpанк,0.798878,FRF,04.01.2000
280,Hімецькі маpки,2.67932,DEM,04.01.2000
348,Форинт,0.0207045,HUF,04.01.2000
352,Ісландські крони,0.072565,ISK,04.01.2000
380,Італійські ліpи,0.00270639,ITL,04.01.2000
392,Єна,0.0510104,JPY,04.01.2000
398,Теньге,0.037745,KZT,04.01.2000
428,Лати Латвії,8.947341,LVL,04.01.2000
440,Литовські лити,1.304075,LTL,04.01.2000
498,Молдовський лей,0.450061,MDL,04.01.2000
528,Голандські гульдени,2.377942,NLG,04.01.2000
578,Норвезька крона,0.648832,NOK,04.01.2000
702,Сінгапурський долар,3.127278,SGD,04.01.2000
703,Словацькі крони,0.123234,SKK,04.01.2000
724,Іспанскі пессети,0.0314948,ESP,04.01.2000
752,Шведська крона,0.612005,SEK,04.01.2000
756,Швейцарський франк,3.264778,CHF,04.01.2000
792,Турецькі ліри,9.68e-06,TRL,04.01.2000
795,Манати Туркменії,0.00100313,TMM,04.01.2000
826,Фунт стерлінгів,8.428977,GBP,04.01.2000
