"Отметка времени","Ваше имя","Любите кошек?","Любите путешествовать?","Любите учиться?","Любите шумные компании?","Верите в любовь с первого взгляда?","Любите подвижные игры?","Верите в чудеса?"
"2020/12/08 8:37:14 PM GMT+2","Селедка","10","10","8","5","8","10","10"
"2020/12/08 8:37:26 PM GMT+2","Noname","9","10","7","10","10","9","10"
"2020/12/08 8:37:31 PM GMT+2","дэб","8","3","9","4","1","8","5"
"2020/12/08 8:37:31 PM GMT+2","Shrek","8","6","7","5","8","6","10"
"2020/12/08 8:37:36 PM GMT+2","Admin","6","10","6","5","3","8","1"
"2020/12/08 8:37:37 PM GMT+2","Николай Басков","8","10","5","8","4","3","2"
"2020/12/08 8:37:46 PM GMT+2","Кто-то","7","10","6","4","7","9","8"
"2020/12/08 8:37:57 PM GMT+2","Аноним Данил","3","10","1","10","1","10","1"
"2020/12/08 8:38:08 PM GMT+2","MisterX_1","5","10","6","10","10","7","8"
